2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
211   N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O	

212   [Ca+2].O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)C(O)C(=O)[O-].O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)C(O)C(=O)[O-]	62859

214   Clc1ccc(C(=O)n2c3c(c(c2C)CC(=O)O)cc(OC)cc3)cc1	328

217   O(C(=O)C(c1ccccc1)CO)[C@H]1C[C@H]2CC[C@@H](C1)[N@+]2(C(C)C)C.[Br-]	

222   [C@]12(C(=O)C(=O)N3[C@H](C(=O)O[C@H](/C(=C/[C@H]4C[C@H]([C@H](CC4)Cl)OC)/C)[C@@H]([C@H](CC(=O)[C@@H](/C=C(/C[C@@H](C[C@@H]([C@@H](O1)[C@H](C[C@H]2C)OC)OC)C)\C)CC)O)C)CCCC3)O	

226   Clc1ccc(C(N2CCN(CC2)CCOCC(=O)O)c2ccccc2)cc1	341

233   Clc1cc2N(C(=O)CC(=O)N(c2cc1)C)c1ccccc1	349

238   Clc1ccc(C(N2CCN(CC2)Cc2ccc(C(C)(C)C)cc2)c2ccccc2)cc1	354

240   Clc1cc2[nH]c(=O)oc2cc1	2733

247   C1(=Nc2c(Nc3c1cccc3)ccc(c2)Cl)N1CCN(CC1)C	

252   P(=O)(O)(O)CO[C@@H](Cn1ccc(nc1=O)N)CO	369

257   ClCC1OC1.N(CCNCCN)CCNCCN	375

263   Clc1c(C2C(=C(NC(=C2C(=O)OC)C)COCCN)C(=O)OCC)cccc1	381

274   [C@@]12(C(=CC(=O)C=C2)CC[C@@H]2[C@@]1([C@@H](O)C[C@@]1(C)[C@H]2C[C@H](C)[C@@]1(C(=O)COC(=O)CC)OC(=O)CC)Cl)C	[NO NAME]

278   Clc1c(cc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1)C(F)(F)F	398

279   P(=O)(O)(O)C(P(=O)(O)O)(O)Cn1ccnc1	68740

280   Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC	400

282   Clc1ccc(N2[C@@H](OC(=O)N3CCN(CC3)C)c3nccnc3C2=O)nc1	402

284   Clc1cc2c(n3c(nnc3C)CN=C2c2ccccc2)cc1	404

285   Brc1ccc([C@H](CCN(C)C)c2ncccc2)cc1	405

287   Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N1CCN(CC1)C	408

288   Brc1c(OC)c(C(=O)NC[C@H]2N(CCC2)CC)c(OC)cc1	409

290   C([N+](C)(C)C)COC(=O)N.[Cl-]	51-83-2

306   C1[C@H](O)[C@H](C/C=C\CCCC(=O)[O-])[C@H]([C@H]1O)/C=C/[C@](CCCCC)(O)C.OCC(CO)([NH3+])CO	

308   [C@H]1([C@H]([C@@H]([C@@H]([C@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl	

310   Clc1cc2N(CCCN3CCN(CC3)C)c3c(Sc2cc1)cccc3	433

322   c1c(ccc(c1)[N+](=O)[O-])[C@H]([C@H](NC(=O)C(Cl)Cl)CO)O	

326   Ic1cc(C[C@H](N)C(=O)O)cc(I)c1Oc1cc(I)c(O)c(I)c1	451

328   c1cc(c2c(c1Cl)[C@@]([C@@H]1C(=C([C@]3([C@@H](C1)[C@@H](C(=C(C3=O)C(=O)NCO)O)N(C)C)O)O)C2=O)(C)O)O	

330   Clc1cc2c(C(=C3CCN(CC3)C(=O)OCC)c3ncccc3CC2)cc1	455

337   [Br-].C12C(O2)[C@H]2[N+]([C@H]1C[C@@H](C2)OC(=O)[C@@H](c1ccccc1)CO)(C)C	

338   C(OS(=O)(=O)[O-])(CCC(CCCC)CC)CC(C)C.[Na+]	

344   Clc1cc2nc(/C=C/c3cc([C@H](SCC4(CC4)CC(=O)O)CCc4c(C(O)(C)C)cccc4)ccc3)ccc2cc1	471

348   c1c(cc2c(c1)N=C(CN(=C2c1ccccc1)=O)NC)Cl	

350   Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3	477

